OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,Lifespan,Adaptability,Size
Transfer,Partner,Dog,Intact Male,365,Miniature Poodle,White,4745,5,Small
Adoption,Foster,Dog,Spayed Female,1825,Catahoula,Brown Brindle/White,5110,3,Large
Transfer,Partner,Dog,Neutered Male,150,Yorkshire Terrier,Silver/Tan,5840,5,Small
Transfer,Partner,Dog,Intact Female,365,Japanese Chin,White/Black,5110,5,Small
Adoption,Foster,Dog,Spayed Female,365,Australian Cattle Dog,Tricolor,5475,3,Medium
Adoption,Unknown,Dog,Neutered Male,1825,Chihuahua Shorthair,Black/Cream,6570,5,Small
Transfer,Partner,Cat,Unknown,7,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Transfer,Partner,Dog,Unknown,14,Pit Bull,Blue/White,5475,3,Large
Return_to_owner,Unknown,Dog,Neutered Male,1095,Pit Bull,White/Brown,5475,3,Large
Adoption,Unknown,Dog,Spayed Female,1460,Miniature Poodle,White/Brown,4745,5,Small
Adoption,Unknown,Dog,Spayed Female,2190,Staffordshire,Blue/White,5110,3,Medium
Adoption,Unknown,Dog,Spayed Female,210,Siberian Husky,Brown Brindle,5110,5,Medium
Transfer,Partner,Cat,Spayed Female,2920,Domestic Shorthair,Black/White,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,180,Beagle,Tan/Black,5475,5,Small
Transfer,SCRP,Cat,Intact Female,1095,Domestic Medium Hair,Black/White,6205,5,Medium
Adoption,Foster,Cat,Neutered Male,60,Domestic Shorthair,Orange Tabby,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,730,Chihuahua Shorthair,Black/White,6570,5,Small
Adoption,Unknown,Dog,Spayed Female,30,German Shepherd,Sable,4380,5,Medium to Large
Adoption,Unknown,Cat,Intact Female,120,Domestic Longhair,Blue,6205,5,Medium
Transfer,Partner,Dog,Intact Female,365,Chihuahua Shorthair,White/Brown,6570,5,Small
Transfer,Partner,Dog,Spayed Female,1460,Labrador Retriever,Black,4745,5,Medium
Transfer,Partner,Dog,Intact Female,30,Pit Bull,Tan/White,5475,3,Large
Adoption,Unknown,Cat,Neutered Male,60,Domestic Shorthair,Orange Tabby/White,6205,5,Medium
Adoption,Unknown,Dog,Intact Male,365,Yorkshire Terrier,Buff/Tan,5840,5,Small
Transfer,Partner,Dog,Neutered Male,730,Maltese,White,6570,5,Small
Return_to_owner,Unknown,Cat,Neutered Male,1825,Domestic Shorthair,Blue/White,6205,5,Medium
Transfer,SCRP,Cat,Intact Male,365,Domestic Shorthair,Blue/White,6205,5,Medium
Transfer,Partner,Dog,Intact Male,60,Pit Bull,White/Tan,5475,3,Large
Transfer,Partner,Dog,Neutered Male,730,Border Collie,Black/White,5475,5,Medium
Transfer,Partner,Dog,Spayed Female,60,Labrador Retriever,Black,4745,5,Medium
Transfer,SCRP,Cat,Intact Female,90,Domestic Shorthair,Black/White,6205,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,365,Boxer,Brown,4380,4,Medium
Return_to_owner,Unknown,Dog,Neutered Male,730,Rat Terrier,Black/White,6570,5,Small
Transfer,Partner,Dog,Neutered Male,150,Miniature Schnauzer,Black/White,5475,5,Small
Return_to_owner,Unknown,Dog,Spayed Female,1095,Chihuahua Shorthair,Black,6570,5,Small
Adoption,Unknown,Dog,Spayed Female,120,German Shepherd,Black/Brown,4380,5,Medium to Large
Adoption,Unknown,Dog,Neutered Male,730,Chihuahua Shorthair,Brown,6570,5,Small
Adoption,Unknown,Dog,Neutered Male,365,Boxer,Brown Brindle,4380,4,Medium
Adoption,Unknown,Dog,Spayed Female,365,Great Dane,Black/White,2920,3,Giant
Adoption,Foster,Cat,Intact Female,90,Domestic Shorthair,Black/White,6205,5,Medium
Transfer,SCRP,Cat,Spayed Female,1825,Domestic Shorthair,Black/White,6205,5,Medium
Adoption,Foster,Dog,Spayed Female,730,Plott Hound,Brown Brindle/White,5110,3,Medium
Adoption,Unknown,Cat,Neutered Male,150,Domestic Shorthair,Black Tabby,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,730,Chihuahua Shorthair,Red/Black,6570,5,Small
Transfer,Partner,Cat,Intact Male,14,Domestic Shorthair,Blue Tabby/White,6205,5,Medium
Transfer,Partner,Cat,Unknown,14,Domestic Shorthair,Tortie,6205,5,Medium
Euthanasia,Suffering,Cat,Unknown,21,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Euthanasia,Suffering,Dog,Intact Male,1095,Standard Poodle,White,4745,5,Medium
Died,In Kennel,Cat,Intact Male,14,Domestic Shorthair,Orange Tabby,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,2920,Siberian Husky,Sable,5110,5,Medium
Adoption,Unknown,Cat,Spayed Female,180,Domestic Shorthair,Tortie,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,30,Anatol Shepherd,White/Brown,5110,2,Large
Transfer,SCRP,Cat,Spayed Female,730,Domestic Shorthair,Blue,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,60,Pit Bull,Black/White,5475,3,Large
Return_to_owner,Unknown,Cat,Neutered Male,2190,Domestic Shorthair,Orange Tabby,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,2190,Pointer,White/Brown,5475,5,Medium
Transfer,Partner,Cat,Neutered Male,365,Domestic Medium Hair,Blue/White,6205,5,Medium
Adoption,Foster,Cat,Spayed Female,90,Domestic Shorthair,Calico,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,2555,Australian Cattle Dog,Tan/Gold,5475,3,Medium
Transfer,Partner,Dog,Intact Male,60,Dachshund Wirehair,White/Black,5110,5,Small
Adoption,Unknown,Dog,Spayed Female,60,Jack Russell Terrier,Tan/White,5840,5,Small
Euthanasia,Aggressive,Dog,Neutered Male,2190,Blue Lacy,Fawn/White,5475,4,Medium to Large
Adoption,Unknown,Dog,Spayed Female,730,Australian Cattle Dog,Red Merle/White,5475,3,Medium
Transfer,Partner,Dog,Neutered Male,180,Harrier,White/Brown,4380,3,Medium
Transfer,Partner,Dog,Intact Female,730,Labrador Retriever,White/Black,4745,5,Medium
Adoption,Unknown,Cat,Neutered Male,60,Domestic Shorthair,Blue/White,6205,5,Medium
Adoption,Unknown,Cat,Spayed Female,1095,Domestic Shorthair,Brown Tabby,6205,5,Medium
Adoption,Unknown,Cat,Spayed Female,60,Domestic Shorthair,Tortie,6205,5,Medium
Euthanasia,Suffering,Dog,Intact Female,365,Chow Chow,Black,5110,2,Medium
Transfer,Partner,Cat,Intact Female,28,Domestic Shorthair,Blue/White,6205,5,Medium
Transfer,SCRP,Cat,Unknown,210,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,1825,Miniature Poodle,Black,4745,5,Small
Transfer,Partner,Dog,Spayed Female,1095,Belgian Malinois,Tan/Black,5110,5,Medium to Large
Transfer,Partner,Dog,Spayed Female,1460,Miniature Pinscher,Black/Brown,5475,5,Small
Euthanasia,Suffering,Dog,Intact Male,730,Pit Bull,Fawn/White,5475,3,Large
Adoption,Unknown,Dog,Spayed Female,365,Chihuahua Shorthair,Tan,6570,5,Small
Transfer,Partner,Dog,Spayed Female,365,Anatol Shepherd,Brown/White,5110,2,Large
Transfer,Partner,Dog,Intact Male,28,Chihuahua Longhair,Black/White,6570,5,Small
Transfer,Partner,Dog,Intact Male,90,Labrador Retriever,Black,4745,5,Medium
Transfer,Partner,Dog,Intact Female,30,Labrador Retriever,Brown/White,4745,5,Medium
Transfer,SCRP,Cat,Unknown,150,Domestic Shorthair,Blue Tabby/White,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,1825,Labrador Retriever,Black,4745,5,Medium
Adoption,Unknown,Dog,Spayed Female,60,Labrador Retriever,Brown/Black,4745,5,Medium
Transfer,Partner,Dog,Intact Female,1460,Australian Cattle Dog,Brown/White,5475,3,Medium
Adoption,Unknown,Dog,Neutered Male,30,German Shepherd,Black/White,4380,5,Medium to Large
Adoption,Unknown,Cat,Spayed Female,120,Domestic Shorthair,Tortie,6205,5,Medium
Transfer,Partner,Cat,Intact Male,30,Domestic Shorthair,White/Brown,6205,5,Medium
Return_to_owner,Unknown,Cat,Neutered Male,730,Domestic Shorthair,Orange Tabby,6205,5,Medium
Transfer,Partner,Cat,Intact Female,60,Domestic Shorthair,Black,6205,5,Medium
Euthanasia,Suffering,Dog,Intact Female,1825,Chihuahua Shorthair,Buff,6570,5,Small
Return_to_owner,Unknown,Dog,Spayed Female,1095,Catahoula,Black Brindle,5110,3,Large
Return_to_owner,Unknown,Dog,Neutered Male,1825,Chihuahua Shorthair,White/Brown,6570,5,Small
Return_to_owner,Unknown,Dog,Neutered Male,365,Labrador Retriever,Black/Brown,4745,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,1095,German Shepherd,Sable/Brown,4380,5,Medium to Large
Transfer,SCRP,Cat,Neutered Male,730,Domestic Shorthair,Brown Tabby,6205,5,Medium
Transfer,Partner,Dog,Neutered Male,150,Labrador Retriever,Cream,4745,5,Medium
Transfer,Partner,Cat,Spayed Female,1825,Domestic Shorthair,White/Black,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,365,Dalmatian,White/Black,5110,5,Large
Transfer,Partner,Dog,Intact Female,1460,Pit Bull,Brown/White,5475,3,Large
Return_to_owner,Unknown,Dog,Neutered Male,1095,Beagle,Tricolor,5475,5,Small
Died,In Kennel,Cat,Intact Male,14,Domestic Shorthair,Orange Tabby,6205,5,Medium
Transfer,Partner,Dog,Neutered Male,1825,Chihuahua Shorthair,Sable,6570,5,Small
Transfer,Partner,Dog,Spayed Female,90,Labrador Retriever,Black/White,4745,5,Medium
Transfer,SCRP,Cat,Neutered Male,365,Domestic Shorthair,Brown Tabby,6205,5,Medium
Adoption,Unknown,Cat,Spayed Female,60,Domestic Medium Hair,Tortie,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,730,Bulldog,Brown/White,3650,5,Medium
Adoption,Unknown,Cat,Neutered Male,60,Domestic Shorthair,Brown Tabby,6205,5,Medium
Return_to_owner,Unknown,Dog,Intact Male,2920,Chihuahua Shorthair,Gold,6570,5,Small
Return_to_owner,Unknown,Dog,Intact Female,1095,Vizsla,Tan/White,5110,5,Medium
Transfer,Partner,Cat,Intact Female,30,Domestic Medium Hair,Torbie/White,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,60,Labrador Retriever,Black,4745,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,1095,Chihuahua Shorthair,Sable,6570,5,Small
Return_to_owner,Unknown,Dog,Neutered Male,1825,Labrador Retriever,Yellow,4745,5,Medium
Adoption,Unknown,Cat,Neutered Male,365,Domestic Shorthair,Brown Tabby,6205,5,Medium
Adoption,Unknown,Cat,Spayed Female,60,Domestic Shorthair,Blue Tabby,6205,5,Medium
Adoption,Unknown,Cat,Neutered Male,1095,Domestic Shorthair,Black,6205,5,Medium
Transfer,Partner,Cat,Spayed Female,1825,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,60,Labrador Retriever,Brown Brindle/White,4745,5,Medium
Adoption,Unknown,Cat,Spayed Female,365,Domestic Shorthair,Tortie,6205,5,Medium
Adoption,Foster,Dog,Intact Female,60,English Cocker Spaniel,Sable,5110,5,Medium
Adoption,Unknown,Dog,Spayed Female,30,Australian Shepherd,Tricolor,5475,5,Medium
Transfer,Partner,Cat,Intact Female,30,Domestic Longhair,White,6205,5,Medium
Euthanasia,Medical,Cat,Intact Female,30,Manx,Blue/White,5110,5,Medium to Large
Return_to_owner,Unknown,Dog,Neutered Male,365,Pit Bull,Blue/White,5475,3,Large
Transfer,SCRP,Cat,Intact Male,730,Domestic Shorthair,Cream Tabby,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,240,Labrador Retriever,Black,4745,5,Medium
Adoption,Foster,Cat,Neutered Male,60,Domestic Shorthair,Black,6205,5,Medium
Adoption,Unknown,Cat,Neutered Male,60,Snowshoe,Seal Point,6935,5,Medium
Transfer,Partner,Dog,Neutered Male,30,Flat Coat Retriever,Black,4745,5,Medium to Large
Return_to_owner,Unknown,Dog,Neutered Male,730,Pit Bull,Gray/White,5475,3,Large
Transfer,Partner,Dog,Intact Female,60,Australian Cattle Dog,Black/White,5475,3,Medium
Transfer,Partner,Dog,Intact Female,21,Lhasa Apso,White/Brown,5475,5,Small
Adoption,Unknown,Dog,Spayed Female,365,Boxer,Brown Brindle/White,4380,4,Medium
Transfer,SCRP,Cat,Intact Female,730,Domestic Shorthair,White/Brown Tabby,6205,5,Medium
Transfer,Partner,Dog,Spayed Female,730,Boxer,Brown Brindle/White,4380,4,Medium
Transfer,Partner,Cat,Neutered Male,1825,Domestic Shorthair,Blue,6205,5,Medium
Transfer,Partner,Cat,Intact Female,28,Domestic Shorthair,Black,6205,5,Medium
Adoption,Unknown,Cat,Spayed Female,730,Domestic Shorthair,Brown,6205,5,Medium
Died,In Foster,Cat,Intact Male,35,Domestic Shorthair,Black/White,6205,5,Medium
Euthanasia,Aggressive,Dog,Neutered Male,730,German Shepherd,Brown/Black,4380,5,Medium to Large
Transfer,Partner,Cat,Intact Female,21,Snowshoe,Seal Point,6935,5,Medium
Adoption,Foster,Dog,Spayed Female,365,Australian Cattle Dog,Brown Brindle/White,5475,3,Medium
Return_to_owner,Unknown,Dog,Neutered Male,30,Pit Bull,Gray/White,5475,3,Large
Euthanasia,Suffering,Cat,Neutered Male,730,Domestic Shorthair,White/Orange,6205,5,Medium
Transfer,Partner,Cat,Unknown,14,Domestic Shorthair,Blue Tabby/White,6205,5,Medium
Transfer,SCRP,Cat,Intact Female,365,Domestic Shorthair,Blue,6205,5,Medium
Adoption,Foster,Dog,Spayed Female,1460,Labrador Retriever,Black,4745,5,Medium
Transfer,Partner,Dog,Spayed Female,1095,Miniature Poodle,White,4745,5,Small
Return_to_owner,Unknown,Dog,Spayed Female,2190,Labrador Retriever,Brown/White,4745,5,Medium
Adoption,Foster,Dog,Neutered Male,365,Miniature Poodle,Gray,4745,5,Small
Return_to_owner,Unknown,Dog,Spayed Female,730,Pit Bull,Black/White,5475,3,Large
Adoption,Unknown,Dog,Neutered Male,2920,Chihuahua Longhair,Tricolor/Brown,6570,5,Small
Transfer,Partner,Cat,Intact Male,30,Domestic Medium Hair,Blue Tabby,6205,5,Medium
Adoption,Foster,Dog,Neutered Male,1095,American Bulldog,Brown Brindle/White,5475,3,Large
Euthanasia,Suffering,Cat,Intact Male,30,Domestic Shorthair,Orange Tabby,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,730,Silky Terrier,Brown/White,5110,3,Small
Return_to_owner,Unknown,Dog,Spayed Female,365,Labrador Retriever,Chocolate,4745,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,365,Labrador Retriever,Black,4745,5,Medium
Adoption,Unknown,Dog,Spayed Female,120,Jack Russell Terrier,White,5840,5,Small
Adoption,Unknown,Dog,Spayed Female,30,Australian Cattle Dog,Brown Brindle/White,5475,3,Medium
Euthanasia,Rabies Risk,Dog,Neutered Male,1095,Siberian Husky,White/White,5110,5,Medium
Transfer,Partner,Dog,Spayed Female,730,German Shepherd,Brown/Black,4380,5,Medium to Large
Return_to_owner,Unknown,Dog,Neutered Male,365,Boston Terrier,Black/White,5475,5,Small
Transfer,SCRP,Cat,Unknown,365,Domestic Medium Hair,Black,6205,5,Medium
Adoption,Unknown,Cat,Intact Female,60,Domestic Shorthair,Blue,6205,5,Medium
Adoption,Unknown,Cat,Neutered Male,60,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Adoption,Unknown,Cat,Neutered Male,60,Domestic Shorthair,Black/White,6205,5,Medium
Adoption,Unknown,Cat,Spayed Female,365,Domestic Shorthair,Calico,6205,5,Medium
Adoption,Unknown,Cat,Neutered Male,60,Domestic Shorthair,Brown Tabby,6205,5,Medium
Transfer,Partner,Cat,Unknown,14,Domestic Shorthair,Black,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,120,Pointer,Black/White,5475,5,Medium
Euthanasia,Aggressive,Dog,Neutered Male,1460,Catahoula,Brown Merle,5110,3,Large
Transfer,Partner,Cat,Spayed Female,60,Domestic Shorthair,Black,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,150,Border Collie,Black/White,5475,5,Medium
Transfer,Partner,Cat,Neutered Male,120,Domestic Shorthair,Orange Tabby/White,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,730,Labrador Retriever,Black,4745,5,Medium
Transfer,Partner,Dog,Neutered Male,180,Australian Cattle Dog,White/Red Tick,5475,3,Medium
Adoption,Unknown,Dog,Neutered Male,730,Border Collie,Black/White,5475,5,Medium
Euthanasia,Aggressive,Dog,Intact Female,1095,Pit Bull,Brown/White,5475,3,Large
Adoption,Unknown,Dog,Spayed Female,1095,Chihuahua Shorthair,Black/White,6570,5,Small
Adoption,Unknown,Dog,Neutered Male,1095,Australian Shepherd,Blue Merle/White,5475,5,Medium
Transfer,Partner,Dog,Spayed Female,365,Yorkshire Terrier,Buff,5840,5,Small
Transfer,Partner,Dog,Neutered Male,30,German Shepherd,Black/Tan,4380,5,Medium to Large
Return_to_owner,Unknown,Dog,Intact Female,14,Chihuahua Shorthair,Black,6570,5,Small
Transfer,Partner,Cat,Intact Male,60,Domestic Shorthair,Blue Tabby/White,6205,5,Medium
Transfer,Partner,Dog,Intact Male,730,Beagle,Black,5475,5,Small
Return_to_owner,Unknown,Cat,Spayed Female,1095,Domestic Shorthair,Brown Tabby,6205,5,Medium
Euthanasia,Suffering,Cat,Intact Male,1095,Domestic Longhair,Brown Tabby,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,30,German Shepherd,Sable,4380,5,Medium to Large
Adoption,Foster,Dog,Neutered Male,2190,English Coonhound,White/Tan,4380,4,Large
Adoption,Unknown,Dog,Neutered Male,60,English Pointer,White/Tan,5475,5,Medium
Adoption,Foster,Dog,Spayed Female,1095,Chihuahua Longhair,Black/Gray,6570,5,Small
Euthanasia,Suffering,Cat,Intact Female,60,Domestic Shorthair,Torbie,6205,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,2920,Labrador Retriever,Black,4745,5,Medium
Transfer,Partner,Dog,Neutered Male,730,American Bulldog,Tan/White,5475,3,Large
Return_to_owner,Unknown,Dog,Intact Female,240,Pit Bull,White/Brown,5475,3,Large
Adoption,Unknown,Dog,Spayed Female,365,Pit Bull,Black/White,5475,3,Large
Euthanasia,Suffering,Dog,Intact Male,365,Shetland Sheepdog,Brown,5110,5,Medium
Transfer,Partner,Cat,Unknown,90,Domestic Medium Hair,Brown Tabby/White,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,365,Weimaraner,Blue,4380,5,Medium to Large
Adoption,Unknown,Dog,Neutered Male,240,Australian Cattle Dog,White/Brown Brindle,5475,3,Medium
Adoption,Unknown,Dog,Neutered Male,90,Rhod Ridgeback,Tan/White,4380,4,Large
Return_to_owner,Unknown,Dog,Spayed Female,365,Yorkshire Terrier,Tan,5840,5,Small
Euthanasia,Suffering,Dog,Spayed Female,365,Australian Cattle Dog,Brown/White,5475,3,Medium
Transfer,Partner,Dog,Intact Female,14,Labrador Retriever,Black/White,4745,5,Medium
Euthanasia,Suffering,Cat,Neutered Male,1095,Domestic Shorthair,Gray Tabby,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,1095,German Shepherd,Tan/Black,4380,5,Medium to Large
Return_to_owner,Unknown,Cat,Neutered Male,1095,Domestic Shorthair,Cream Tabby,6205,5,Medium
Transfer,Partner,Dog,Intact Female,90,Jack Russell Terrier,Chocolate,5840,5,Small
Adoption,Unknown,Dog,Spayed Female,60,Jack Russell Terrier,White/Brown,5840,5,Small
Return_to_owner,Unknown,Dog,Neutered Male,2920,Pit Bull,White/Brown,5475,3,Large
Transfer,Partner,Dog,Intact Female,365,Pomeranian,Black/White,5475,5,Small
Return_to_owner,Unknown,Dog,Spayed Female,730,Boston Terrier,Black/White,5475,5,Small
Return_to_owner,Unknown,Dog,Neutered Male,730,Anatol Shepherd,Black/White,5110,2,Large
Return_to_owner,Unknown,Dog,Intact Male,1095,German Shepherd,Brown,4380,5,Medium to Large
Adoption,Foster,Dog,Neutered Male,120,American Bulldog,White/Brown,5475,3,Large
Adoption,Unknown,Dog,Neutered Male,120,Pit Bull,Tan,5475,3,Large
Adoption,Unknown,Cat,Spayed Female,240,Domestic Shorthair,Black/White,6205,5,Medium
Transfer,Partner,Dog,Spayed Female,210,Pit Bull,Brown Brindle,5475,3,Large
Adoption,Unknown,Cat,Intact Female,365,Domestic Medium Hair,Blue Tabby,6205,5,Medium
Euthanasia,Medical,Dog,Neutered Male,2190,Pit Bull,Brown/White,5475,3,Large
Return_to_owner,Unknown,Dog,Intact Female,365,Finnish Spitz,Yellow/Yellow,5475,3,Medium
Adoption,Unknown,Dog,Spayed Female,730,Chihuahua Longhair,Black/Tan,6570,5,Small
Transfer,Partner,Dog,Intact Male,1095,Labrador Retriever,Tricolor,4745,5,Medium
Adoption,Foster,Cat,Neutered Male,60,Domestic Shorthair,Black/White,6205,5,Medium
Transfer,Partner,Cat,Spayed Female,90,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Transfer,Partner,Dog,Neutered Male,365,Chihuahua Shorthair,White/Brown,6570,5,Small
Return_to_owner,Unknown,Dog,Neutered Male,730,Border Collie,Black/White,5475,5,Medium
Adoption,Unknown,Cat,Spayed Female,90,Domestic Longhair,Calico,6205,5,Medium
Transfer,Partner,Dog,Intact Male,1460,Black Mouth Cur,Brown/Black,5840,4,Medium to Large
Adoption,Unknown,Cat,Neutered Male,365,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Transfer,Partner,Dog,Intact Male,60,Pit Bull,Blue/White,5475,3,Large
Transfer,Partner,Dog,Neutered Male,365,Beagle,Tricolor,5475,5,Small
Transfer,Partner,Dog,Neutered Male,730,Labrador Retriever,Black/White,4745,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,30,Great Pyrenees,White,4380,4,Giant
Adoption,Unknown,Cat,Neutered Male,60,Siamese,Blue Point,5475,5,Medium
Adoption,Foster,Dog,Spayed Female,365,Chihuahua Longhair,Tan/White,6570,5,Small
Adoption,Unknown,Dog,Neutered Male,730,American Staffordshire Terrier,Red/White,5110,3,Medium
Adoption,Foster,Dog,Neutered Male,60,Chihuahua Shorthair,Sable/White,6570,5,Small
Adoption,Unknown,Cat,Spayed Female,210,Domestic Medium Hair,Tortie,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,1825,Labrador Retriever,Black,4745,5,Medium
Transfer,Partner,Dog,Spayed Female,30,Labrador Retriever,Black,4745,5,Medium
Adoption,Unknown,Dog,Neutered Male,730,Pit Bull,Brown Brindle,5475,3,Large
Return_to_owner,Unknown,Cat,Neutered Male,1460,Domestic Shorthair,Orange Tabby,6205,5,Medium
Adoption,Unknown,Cat,Spayed Female,180,Domestic Shorthair,Black/White,6205,5,Medium
Euthanasia,Suffering,Dog,Intact Male,730,Chihuahua Shorthair,Tan,6570,5,Small
Euthanasia,Suffering,Dog,Unknown,365,German Shepherd,White,4380,5,Medium to Large
Return_to_owner,Unknown,Dog,Neutered Male,1095,Pit Bull,Tricolor/Brown,5475,3,Large
Adoption,Unknown,Dog,Neutered Male,365,Chihuahua Shorthair,Chocolate/Tan,6570,5,Small
Transfer,SCRP,Cat,Intact Female,90,Domestic Shorthair,Brown Tabby,6205,5,Medium
Adoption,Unknown,Cat,Neutered Male,60,Domestic Shorthair,Orange Tabby,6205,5,Medium
Return_to_owner,Unknown,Cat,Intact Female,240,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Adoption,Foster,Dog,Spayed Female,1460,Pit Bull,White/Red,5475,3,Large
Transfer,Partner,Cat,Intact Female,30,Domestic Medium Hair,Black,6205,5,Medium
Euthanasia,Suffering,Cat,Neutered Male,1460,Domestic Shorthair,Brown Tabby,6205,5,Medium
Transfer,SCRP,Cat,Intact Female,730,Domestic Shorthair,Torbie,6205,5,Medium
Transfer,Partner,Dog,Spayed Female,730,Labrador Retriever,Buff,4745,5,Medium
Adoption,Foster,Cat,Spayed Female,90,Domestic Shorthair,Black,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,30,German Shepherd,Brown/Black,4380,5,Medium to Large
Transfer,Partner,Cat,Unknown,7,Domestic Shorthair,Orange Tabby,6205,5,Medium
Transfer,Partner,Dog,Neutered Male,1460,Golden Retriever,Red/Black,4745,5,Medium to Large
Transfer,Partner,Cat,Unknown,21,Domestic Shorthair,Black,6205,5,Medium
Adoption,Foster,Cat,Spayed Female,60,Domestic Medium Hair,Brown Tabby,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,180,Labrador Retriever,Black,4745,5,Medium
Adoption,Unknown,Dog,Spayed Female,2190,Cairn Terrier,Black,5475,3,Small
Adoption,Unknown,Dog,Neutered Male,2190,Pit Bull,Tan/White,5475,3,Large
Adoption,Unknown,Cat,Spayed Female,60,Domestic Shorthair,Brown Tabby,6205,5,Medium
Euthanasia,Suffering,Cat,Neutered Male,1825,Domestic Shorthair,Orange Tabby/White,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,60,Pit Bull,Brown Brindle,5475,3,Large
Transfer,SCRP,Cat,Intact Male,90,Domestic Shorthair,Black,6205,5,Medium
Transfer,Partner,Dog,Spayed Female,730,Jack Russell Terrier,Tan/White,5840,5,Small
Transfer,Partner,Dog,Spayed Female,60,Toy Poodle,White,5475,4,Small
Adoption,Offsite,Cat,Neutered Male,60,Domestic Medium Hair,Cream Tabby,6205,5,Medium
Adoption,Unknown,Cat,Neutered Male,60,Domestic Shorthair,Orange Tabby/White,6205,5,Medium
Transfer,SCRP,Cat,Intact Male,90,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,1460,English Bulldog,White,4380,3,Small
Adoption,Unknown,Cat,Spayed Female,1460,Domestic Shorthair,Orange Tabby/White,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,365,American Staffordshire Terrier,Brown/White,5110,3,Medium
Transfer,Partner,Cat,Spayed Female,1095,Domestic Medium Hair,Black/White,6205,5,Medium
Transfer,Partner,Dog,Spayed Female,1095,Pit Bull,Brown/White,5475,3,Large
Transfer,Partner,Cat,Intact Female,365,Domestic Medium Hair,Torbie/White,6205,5,Medium
Transfer,Partner,Cat,Unknown,14,Domestic Shorthair,Orange Tabby,6205,5,Medium
Euthanasia,Aggressive,Dog,Neutered Male,1825,Labrador Retriever,Black/White,4745,5,Medium
Adoption,Foster,Dog,Neutered Male,1095,Boxer,White/Brown,4380,4,Medium
Return_to_owner,Unknown,Dog,Neutered Male,1460,Pit Bull,White/Blue,5475,3,Large
Euthanasia,Aggressive,Dog,Spayed Female,1825,Pit Bull,Tan,5475,3,Large
Transfer,Partner,Dog,Intact Female,90,Pit Bull,Brown Brindle/White,5475,3,Large
Adoption,Unknown,Cat,Spayed Female,730,Bombay,Black,5840,5,Medium
Transfer,SCRP,Cat,Intact Male,730,Domestic Shorthair,Brown Tabby,6205,5,Medium
Adoption,Foster,Dog,Neutered Male,60,Cairn Terrier,Brown Brindle,5475,3,Small
Return_to_owner,Unknown,Dog,Spayed Female,365,Chihuahua Shorthair,Black/White,6570,5,Small
Adoption,Unknown,Dog,Neutered Male,365,Jack Russell Terrier,White/Brown,5840,5,Small
Return_to_owner,Unknown,Dog,Neutered Male,2190,Beagle,Tricolor,5475,5,Small
Transfer,Partner,Dog,Intact Female,730,Labrador Retriever,Black,4745,5,Medium
Transfer,Partner,Cat,Intact Female,120,Domestic Shorthair,Torbie,6205,5,Medium
